video_id,"A)Weather:
Q1.a: What was the time of day during the incident?","A)Weather:
Q1.b: What were the weather conditions during the incident?","B) Light Condition:
Q2: What was the lighting condition at the time of the incident?","C) Traffic Environment:
Q3.a: Where did the incident take place (traffic environment)?","C) Traffic Environment:
Q3.b: What facilities were present in the surrounding environment?","D) Road Configuration
Q4.a: What is the road configuration at the incident time?","D) Road Configuration
Q4.b: Road lane configuration:","D) Road Configuration
Q4.c: Lane direction of Ego-Car at time of incident:","E) Incident Type
Q5.a: What is the category of the incident?","E) Incident Type
Q5.b: Primary Incident Entity (Who caused or could have prevented the incident)?","E) Incident Type
Q5.c: If Primary Incident Entity is a vehicle, what type of vehicle is it?","E) Incident Type
Q5.e: Primary Entity Behavior:","E) Incident Type
Q5.f Secondary Incident Entity (Victim, secondary cause or entity that was hit):","E) Incident Type:
Q5.g: If Secondary Incident Entity is a vehicle, what type of vehicle is it?","E) Incident Type
Q5.i: Secondary Entity Behavior:","E) Incident Type
Q5.j: Incident peak","F) Incident Prevention Measure
Q6.a: How could this Incident most likely have been prevented by the Primary Entity?","F) Incident Prevention Measure
Q6.b: How could this incident most likely have been prevented by the Secondary Entity?","G)Initial Point of Impact
Q7.a: If the Primary Entity was a vehicle, where on the vehicle did the initial impact occur?","G)Initial Point of Impact
Q7.b: If the Primary Entity was a vehicle, what side of the impacted area was hit?","G)Initial Point of Impact
Q7.c: If the Secondary Entity was a vehicle, where on the vehicle did the initial impact occur?","G)Initial Point of Impact
Q7.d: If the Secondary Entity was a vehicle, what side of the impacted area was hit?","H) Traffic Control & Signage Presence:
Q8: What traffic control or road sign is present at the incident location?","I) Road Surface & Material Condition
Q9.a: What was the road surface condition during the incident?","I) Road Surface & Material Condition
Q9.b: What type of road material is the vehicle driving on?"
29,3,0,1,3,2,1,0,1,5,29,2,19,1,1,0,2,1,1,1,3,2,7,1,0,0
30,0,0,0,3,2,1,1,0,2,2,1,0,1,1,9,4,3,4,0,0,0,0,1,0,0
31,3,0,4,0,1,1,0,1,3,3,1,3,2,1,0,1,3,4,0,0,0,0,6,0,0
32,2,0,1,3,4,1,1,0,2,2,1,0,1,1,9,4,5,4,0,0,0,0,1,0,0
33,0,0,0,0,1,1,0,0,5,5,8,12,3,4,2,2,0,2,1,3,2,7,1,0,0
34,0,0,0,3,3,4,2,2,0,0,1,0,1,4,0,1,3,3,0,0,0,0,1,0,0
35,3,0,4,2,1,1,1,1,2,2,1,0,1,4,0,1,0,0,0,0,0,0,1,0,0
36,0,0,0,0,1,4,1,0,3,6,3,6,1,1,0,1,3,4,0,0,0,0,1,0,0
37,0,0,0,2,3,2,1,2,1,5,0,3,1,1,4,2,2,6,1,3,5,4,3,0,0
38,0,0,0,3,2,1,1,0,3,3,1,3,1,1,0,1,3,4,0,0,0,0,6,0,0
39,0,0,0,0,3,4,2,1,3,3,1,8,2,1,9,1,3,4,0,0,0,0,3,0,0
40,3,5,1,3,2,1,1,2,3,3,1,1,1,1,0,1,3,4,0,0,0,0,9,0,0
41,0,0,0,0,2,2,1,2,1,5,6,0,1,1,0,2,2,6,2,7,2,7,1,0,0
42,0,0,0,0,1,1,2,0,3,3,1,1,2,1,0,1,3,4,0,0,0,0,1,0,0
43,0,1,0,0,1,1,0,2,0,6,3,3,2,3,4,2,1,1,1,3,6,12,1,1,0
44,0,0,0,3,4,1,1,0,2,2,1,0,1,1,9,4,3,4,0,0,0,0,1,0,0
45,0,0,4,0,1,1,2,0,0,1,2,3,0,2,4,0,3,4,0,0,0,0,1,0,0
46,0,0,0,3,4,1,1,0,2,2,1,0,1,1,9,4,3,4,0,0,0,0,1,0,0
47,3,0,4,2,3,2,1,0,3,3,1,18,2,1,9,1,3,4,0,0,0,0,3,0,0
48,0,0,0,2,1,3,1,0,1,5,4,12,1,4,0,2,0,1,1,3,2,7,3,0,0
49,0,2,0,3,4,1,1,0,2,2,1,0,1,1,9,4,3,4,0,0,0,0,1,0,0
50,0,0,0,0,3,4,0,0,2,29,0,0,1,4,0,1,3,4,0,0,0,0,3,0,0
51,0,0,0,0,1,3,1,2,0,1,0,6,4,1,4,2,0,6,1,3,5,4,3,0,0
52,3,0,4,2,2,1,2,0,1,5,2,3,2,3,0,2,2,1,1,3,6,12,3,0,0
53,0,0,0,3,4,1,2,2,1,5,2,1,2,3,0,2,0,1,5,7,2,7,1,0,0
54,0,0,0,0,3,4,1,1,3,3,1,0,1,1,9,1,3,4,0,0,0,0,1,0,0
55,0,0,0,0,2,3,0,2,3,3,1,12,2,0,0,1,3,4,0,0,0,0,3,0,0
56,0,3,0,0,4,3,1,0,3,3,1,3,2,1,0,1,3,4,0,0,0,0,3,0,0
57,3,0,1,3,4,1,1,0,3,3,1,1,1,1,0,1,3,4,0,0,0,0,1,0,0
58,3,0,4,3,1,1,2,0,1,5,2,1,1,4,0,0,0,1,0,0,0,0,1,0,0
59,0,0,0,3,4,1,1,0,2,2,1,0,1,1,9,4,3,4,0,0,0,0,9,0,0
60,0,1,0,2,1,1,0,1,1,5,2,4,1,4,0,0,0,1,0,0,0,0,1,0,0
61,3,0,4,3,0,1,2,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
62,3,0,4,0,1,3,1,0,0,6,3,0,1,1,0,2,0,1,1,3,2,7,1,0,0
63,0,1,0,2,3,4,1,0,2,5,0,15,6,0,3,2,0,2,1,3,0,0,4,0,0
64,2,0,2,2,3,4,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,0,0,0
65,3,0,4,0,1,1,1,0,1,5,0,8,5,0,0,2,1,1,2,7,5,6,1,0,0
66,3,0,4,0,1,3,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
67,0,1,0,2,3,3,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,9,0,0
68,0,1,0,0,1,3,1,1,0,0,0,0,1,1,0,0,3,4,0,0,0,0,3,0,0
69,0,0,0,0,1,2,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,6,0,0
70,0,1,0,0,1,1,0,0,6,5,0,12,2,1,0,2,0,1,1,3,0,0,1,0,0
71,0,0,0,2,3,4,2,1,0,0,0,0,1,4,0,4,3,4,0,0,0,0,0,0,0
72,3,0,4,0,1,3,1,2,5,5,0,6,1,1,0,2,0,0,2,2,0,0,3,0,0
73,3,0,4,3,0,1,0,0,2,2,0,0,1,1,0,4,3,4,0,0,0,0,0,0,0
74,0,0,0,3,0,1,1,0,2,2,0,16,1,4,0,2,0,1,0,0,2,7,1,0,0
75,0,1,0,3,0,1,0,2,2,29,0,13,2,1,0,2,5,1,0,0,2,7,0,0,0
76,0,0,0,3,0,1,0,1,2,5,2,4,2,1,0,2,0,1,0,0,2,7,1,0,0
77,3,0,4,2,0,2,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
78,0,0,0,3,0,1,0,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
79,2,0,0,3,0,1,0,0,2,1,0,12,3,0,0,2,0,0,1,3,0,0,1,0,0
80,2,0,0,3,0,1,0,1,2,29,0,0,1,1,0,4,5,4,0,0,0,0,1,0,0
81,0,0,0,0,3,1,1,0,2,0,0,0,1,1,0,4,3,4,0,0,0,0,6,0,0
82,0,0,0,3,0,1,0,2,2,2,0,16,1,1,0,4,3,4,0,0,0,0,1,0,0
83,2,0,0,0,0,2,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
84,0,0,0,2,0,0,2,2,1,5,0,12,2,0,9,2,0,1,4,5,2,7,1,0,0
85,3,0,4,2,3,4,2,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
86,3,0,4,3,0,1,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
87,0,0,0,2,0,3,2,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,6,0,0
88,0,1,0,3,3,4,1,1,5,29,2,19,2,3,0,2,5,1,0,0,2,7,1,0,0
89,0,0,0,0,1,1,2,1,2,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
90,2,0,0,2,3,4,1,1,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
91,0,0,0,2,3,1,0,0,1,1,0,12,2,0,9,2,0,1,1,3,6,12,1,0,0
92,0,1,0,2,3,1,0,0,1,5,0,4,2,0,0,2,0,1,4,4,5,4,1,0,0
93,0,0,0,3,0,1,2,1,1,5,2,4,1,1,6,2,0,1,2,7,2,7,1,0,0
94,0,1,0,2,3,4,1,0,0,0,0,0,1,1,0,4,3,4,0,0,0,0,0,0,0
95,0,0,0,3,0,1,0,1,2,2,0,0,1,1,9,4,3,4,0,0,0,0,6,0,0
96,3,0,4,0,0,1,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
97,0,0,0,0,0,5,2,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
98,0,0,0,3,0,5,2,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,3,3
99,0,0,0,2,0,3,1,2,5,0,0,0,2,0,10,0,0,1,0,0,2,7,1,0,0
100,0,0,0,0,1,3,1,0,2,2,0,0,1,4,0,1,3,4,0,0,0,0,6,0,0
101,0,0,0,3,0,1,0,1,1,5,2,1,2,3,5,2,0,1,1,3,5,4,9,0,0
102,3,0,1,3,0,1,1,0,2,2,0,0,1,1,9,4,3,4,0,0,0,0,1,0,0
103,0,0,0,0,1,1,1,1,0,0,0,0,1,1,9,4,3,4,0,0,0,0,6,0,0
104,2,1,0,0,1,1,2,1,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
105,0,0,0,3,0,1,0,2,5,5,0,12,0,0,0,2,5,1,2,2,0,0,1,0,0
106,0,0,0,3,0,1,0,1,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
107,3,0,4,0,1,1,0,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
108,0,1,0,0,0,2,2,0,1,5,2,1,2,3,13,2,0,3,1,3,1,6,3,0,0
109,0,0,0,0,1,3,1,0,0,5,6,1,4,0,4,2,0,1,5,4,0,0,6,0,0
110,0,0,0,3,0,1,2,1,1,5,2,4,1,1,0,2,0,1,2,7,5,12,1,0,0
111,0,0,0,0,1,2,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
112,0,0,0,0,1,1,0,2,1,5,2,4,1,1,0,0,0,0,0,0,0,0,1,0,0
113,0,3,0,3,0,1,0,0,3,3,1,0,0,0,0,1,6,4,0,0,0,0,1,0,0
114,0,1,0,0,1,2,1,1,2,2,0,0,1,1,0,0,5,1,0,0,0,0,3,1,0
115,0,1,0,0,0,0,0,1,2,10,0,16,1,1,0,2,5,1,1,3,0,0,1,0,0
116,0,0,0,0,1,2,1,1,0,6,3,6,2,0,0,2,0,1,2,7,1,6,6,0,0
117,0,0,0,0,1,3,0,0,6,5,2,6,2,2,0,2,0,1,2,7,1,6,1,0,0
118,0,0,0,0,0,1,0,0,1,5,2,8,2,3,0,0,0,1,0,0,0,0,1,0,0
119,0,0,0,0,1,2,0,0,5,5,0,1,3,0,0,2,0,2,4,4,0,0,3,0,0
120,0,0,0,3,0,1,2,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,9,0,0
121,0,0,0,0,1,7,2,2,6,5,0,12,1,3,0,4,0,0,0,0,0,0,1,0,0
122,0,1,0,2,3,4,1,0,6,5,2,17,1,3,0,4,0,0,0,0,0,3,0,0,0
123,0,0,0,0,1,3,1,0,0,5,5,1,4,0,4,2,0,1,1,3,0,0,3,0,0
124,0,0,0,2,3,4,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
125,1,0,0,0,4,0,0,0,1,5,2,6,2,3,9,2,0,1,1,2,1,1,0,0,1
126,0,0,0,0,0,2,0,2,1,1,0,0,2,3,3,2,0,3,1,3,5,12,6,0,0
127,0,0,0,3,0,1,1,0,6,1,0,12,0,0,0,1,0,0,0,0,0,0,1,2,0
128,0,1,0,0,1,2,1,0,0,6,3,13,1,1,5,2,0,1,1,3,2,7,6,1,0
129,0,0,0,0,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,9,0,0
130,0,1,0,2,3,4,1,2,0,0,6,0,1,1,0,2,0,1,5,0,2,7,1,0,0
131,2,0,4,0,0,2,1,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
132,0,0,0,0,1,3,1,1,0,6,3,13,5,0,0,2,0,1,1,3,2,7,1,0,0
133,0,0,0,3,0,1,1,0,6,0,0,0,1,1,6,5,0,1,0,0,0,0,1,0,0
134,0,0,0,0,1,3,1,0,0,1,0,1,4,0,0,0,2,1,1,3,0,0,9,0,0
135,0,3,0,3,0,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
136,0,3,0,3,0,1,0,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
137,0,0,0,0,1,1,2,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
138,0,0,0,2,3,4,1,0,2,29,0,13,2,4,0,2,5,1,0,0,6,12,3,0,0
139,0,1,0,3,0,1,0,1,6,5,0,12,3,0,2,2,0,2,0,3,0,0,1,0,0
140,0,1,0,0,3,4,1,0,0,6,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,1,3,0,0,5,5,8,6,3,0,0,2,0,0,5,7,0,0,0,0,0
142,3,0,1,0,0,1,1,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
143,3,0,4,0,4,3,2,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,10,0,0
144,0,0,0,3,0,1,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,0,0,0
145,0,0,0,0,1,3,2,0,1,5,2,6,5,0,0,2,2,6,1,3,5,4,1,0,1
146,0,4,0,3,0,1,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,0,2,0
147,0,0,0,3,0,1,1,2,2,29,0,19,1,1,0,1,0,0,0,0,0,0,1,0,0
148,0,1,0,0,1,3,2,0,0,1,0,1,0,2,4,2,0,1,1,3,5,3,3,0,0
149,0,0,0,0,1,3,0,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,9,0,0
150,3,0,4,0,4,3,2,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
151,0,0,0,3,0,3,2,2,1,1,0,0,2,3,0,2,0,1,2,7,2,7,9,0,0
152,0,0,0,3,0,3,1,0,6,1,0,1,0,0,0,2,0,0,4,4,0,0,1,0,0
153,2,1,0,2,3,4,1,0,2,29,0,14,2,1,9,2,5,1,0,0,5,4,6,2,0
154,0,0,0,2,3,4,1,1,0,0,0,0,1,1,9,4,3,4,0,0,0,0,9,0,0
155,0,0,0,3,0,3,1,0,2,2,0,0,1,1,9,4,3,4,0,0,0,0,1,0,0
156,2,0,0,2,3,1,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
157,0,1,0,2,3,4,1,1,0,0,0,0,1,1,0,4,3,4,0,0,0,0,1,0,0
158,0,0,0,3,0,1,0,1,5,5,8,1,0,0,0,0,0,0,2,7,0,0,1,0,0
159,2,1,0,3,0,1,1,0,2,2,0,0,1,1,0,0,0,6,0,0,2,7,1,0,0
160,2,0,0,2,1,2,0,1,5,1,0,12,3,0,0,2,0,2,2,7,0,0,0,0,0
161,0,0,0,3,0,1,1,0,0,6,3,0,1,1,6,0,0,1,0,0,0,0,1,0,0
162,3,0,4,2,3,2,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
163,3,0,1,2,3,4,2,1,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
164,0,1,0,3,0,1,0,2,5,5,0,12,3,0,0,2,0,2,2,7,0,0,1,0,0
165,3,0,4,2,3,2,1,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
166,0,0,0,3,2,1,0,0,5,5,5,4,3,0,0,2,0,2,2,7,0,0,1,0,1
167,0,0,0,0,1,1,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
168,2,0,0,3,0,1,0,1,1,5,2,4,1,1,0,2,0,1,2,7,1,6,0,0,0
169,0,0,0,0,2,2,1,2,1,1,0,4,2,3,0,2,0,1,1,3,6,12,1,0,0
170,0,0,0,3,0,3,1,1,0,0,0,0,0,0,0,1,3,4,0,0,0,0,6,0,0
171,2,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,4,0,0
172,0,1,0,3,0,1,0,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,9,0,0
173,0,0,0,2,3,1,0,1,1,6,3,0,2,0,0,2,0,1,4,4,2,7,1,0,0
174,0,0,0,3,0,1,2,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
175,0,0,0,0,3,1,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
176,2,0,0,3,0,1,1,0,1,5,0,12,2,0,0,2,0,1,5,0,2,7,1,0,0
177,2,0,0,3,0,1,2,0,5,5,8,12,3,0,0,2,0,2,1,3,0,0,1,0,0
178,0,1,0,3,0,1,0,2,2,29,0,17,2,4,0,2,5,1,0,0,2,7,1,0,0
179,0,0,0,3,0,1,2,2,2,29,0,19,2,1,0,2,5,1,0,0,2,7,1,0,0
180,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,3,0,0
181,0,0,0,2,3,1,1,0,1,5,2,12,2,3,0,2,0,1,1,3,1,6,1,0,0
182,0,0,0,0,1,1,1,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
183,2,0,0,3,0,1,2,2,3,10,0,16,1,1,0,4,3,4,0,0,0,0,1,0,0
184,0,0,0,3,0,1,1,0,5,1,0,12,3,0,0,2,0,2,1,3,0,0,1,0,0
185,1,1,0,3,0,1,0,2,2,10,0,16,1,1,0,2,5,1,0,0,2,7,1,0,0
186,3,2,4,0,1,1,2,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,10,1,0
187,0,1,0,3,0,1,0,2,2,29,0,19,2,1,0,2,5,1,0,0,2,7,1,0,0
188,0,0,0,3,0,1,2,1,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
189,2,0,0,0,1,1,0,2,5,5,8,12,3,0,0,2,0,2,2,7,0,0,1,0,0
190,0,1,0,2,3,1,0,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
191,3,0,4,0,1,1,2,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,9,0,0
192,0,1,0,3,3,1,1,0,2,2,0,0,1,4,0,4,3,4,0,0,0,0,1,0,0
193,0,0,0,0,1,2,1,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
194,0,0,0,3,0,1,1,1,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
195,0,0,0,0,1,1,0,0,1,1,0,1,2,1,9,0,0,1,0,0,0,0,1,0,0
196,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
197,2,0,0,0,1,1,0,2,3,5,0,12,0,0,0,1,3,4,0,0,0,0,1,1,0
198,0,1,0,3,0,3,2,1,1,5,2,1,1,1,0,2,0,1,2,7,1,6,1,0,0
199,2,1,0,3,0,1,0,1,2,10,0,16,1,1,0,2,5,1,0,0,2,7,1,0,0
200,2,1,0,2,3,3,1,1,1,1,0,6,2,3,0,2,0,6,1,3,2,7,1,0,0
201,0,1,0,0,1,2,1,0,3,3,1,3,0,0,0,1,3,4,0,0,0,0,3,0,0
202,0,0,0,0,1,1,1,1,0,0,0,0,1,1,9,4,3,4,0,0,0,0,6,0,0
203,0,0,0,3,2,1,1,0,1,1,0,12,2,1,0,0,0,1,0,0,0,0,1,0,0
204,0,0,0,3,1,1,0,1,3,3,1,3,2,1,0,1,3,4,0,0,0,0,3,0,0
205,0,0,0,3,1,1,0,1,2,10,0,19,1,3,0,0,5,1,0,0,0,0,1,0,0
206,0,0,0,2,3,4,2,2,0,0,1,0,1,1,9,4,3,4,0,0,0,0,1,0,0
207,0,1,0,0,1,1,1,0,1,5,0,8,2,0,0,2,2,6,4,4,5,4,3,1,0
208,0,2,0,0,1,7,0,2,0,0,0,7,3,1,10,2,2,6,1,3,2,7,1,1,0
209,0,1,0,0,1,1,0,1,5,29,1,19,1,3,3,2,0,2,1,3,2,7,1,0,0
210,0,0,0,3,2,1,1,0,2,29,0,19,1,1,0,2,5,1,0,3,2,7,1,0,0
211,2,0,0,2,1,1,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
212,0,0,0,0,1,3,1,0,1,5,6,19,1,1,9,2,0,1,1,3,2,7,3,0,0
213,0,1,0,0,1,1,1,0,0,0,1,0,1,1,9,4,3,4,0,0,0,0,11,0,0
214,0,1,0,0,1,2,1,2,0,6,3,0,1,1,0,2,0,6,2,7,2,7,3,0,0
215,2,0,1,2,3,4,1,0,3,3,1,8,2,1,9,1,3,4,0,0,0,0,1,0,0
216,0,0,0,0,0,1,0,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
217,3,0,1,0,0,1,2,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
218,0,0,0,2,0,0,1,0,1,5,0,0,5,0,0,2,2,1,2,7,2,7,1,0,1
219,0,0,0,2,0,2,1,0,1,1,0,3,5,0,4,2,1,3,1,3,5,4,3,0,0
220,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
221,2,1,0,3,2,1,1,0,0,5,2,1,4,0,0,0,0,1,0,0,0,0,1,0,0
222,0,0,0,0,1,1,1,1,2,2,0,0,1,4,0,4,3,4,0,0,0,0,1,0,0
223,0,0,0,3,0,1,0,1,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
224,0,1,0,2,0,3,1,2,1,1,0,1,2,0,4,2,2,6,1,3,2,7,1,0,0
225,0,0,0,0,1,1,2,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
226,0,0,0,0,1,1,1,0,1,5,2,4,1,1,11,2,0,0,4,4,5,4,9,0,0
227,2,1,0,0,1,1,0,1,1,5,6,4,2,3,0,2,0,1,2,7,1,6,3,0,0
228,0,0,0,0,1,3,0,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,6,0,0
229,0,0,0,0,1,2,1,2,1,1,0,1,2,1,4,2,0,2,1,3,1,6,3,0,0
230,0,0,0,0,1,1,0,1,5,5,8,12,3,0,0,2,0,2,1,3,0,0,1,0,0
231,3,0,4,2,1,1,0,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
232,0,0,0,3,0,1,2,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,1,0,0
233,0,0,0,0,1,1,2,2,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
